sample_id,date,hour,city,weather,cloud_cover,humidity,temperature,precipitation,solar_altitude,outdoor_lux
1,2026-04-09,16,杭州,多云,0.5719,0.6801,23.67,0.0075,36.288,31661.65
2,2026-06-14,6,杭州,阴,0.8162,0.7915,14.82,0.1405,17.251,9726.53
3,2026-05-04,17,杭州,多云,0.3704,0.7698,27.5,0.0623,27.478,30988.21
4,2026-04-27,6,杭州,阴,0.874,0.6221,11.81,0.0997,10.522,7128.75
5,2026-07-01,16,杭州,雨,0.8902,0.7545,30.45,0.2091,45.388,8836.0
6,2026-04-25,9,杭州,阴,0.8541,0.6116,21.15,0.012,51.627,16960.98
7,2026-06-12,11,杭州,多云,0.3706,0.4961,26.48,0.0382,70.139,53607.57
8,2026-06-24,16,杭州,多云,0.4839,0.7573,22.97,0.0096,45.576,39931.11
9,2026-06-02,9,杭州,阴,0.6766,0.8797,22.42,0.1198,56.13,21168.33
10,2026-05-20,16,杭州,多云,0.4746,0.4979,26.07,0.0757,43.698,35898.35
11,2026-05-18,16,杭州,多云,0.3194,0.4738,27.84,0.0674,43.454,43173.37
12,2026-04-18,9,杭州,多云,0.4794,0.6128,17.85,0.0067,50.398,38524.04
13,2026-04-07,7,杭州,阴,0.76,0.7459,21.96,0.1177,21.152,11359.92
14,2026-06-05,13,杭州,晴,0.0605,0.5814,29.18,0.0038,69.909,92384.22
15,2026-06-27,18,杭州,多云,0.557,0.7478,22.8,0.063,17.242,22388.57
16,2026-05-16,11,杭州,多云,0.3312,0.4656,26.35,0.0111,68.579,51612.66
17,2026-06-13,12,杭州,雨,0.7809,0.724,29.16,0.8455,71.918,11935.86
18,2026-05-08,12,杭州,阴,0.8328,0.8149,24.11,0.1026,69.638,18090.92
19,2026-04-22,9,杭州,晴,0.1683,0.5781,24.44,0.018,51.113,71993.63
20,2026-04-26,12,杭州,多云,0.4624,0.5934,26.94,0.0105,68.287,46046.35
21,2026-05-30,10,杭州,阴,0.7653,0.778,25.11,0.1079,64.372,20088.82
22,2026-06-28,13,杭州,多云,0.604,0.6513,27.72,0.0204,70.179,41390.32
23,2026-04-11,11,杭州,雨,0.8224,0.757,32.68,0.4748,64.317,10665.69
24,2026-04-21,6,杭州,多云,0.5434,0.4615,20.43,0.0522,9.039,16009.6
25,2026-06-25,13,杭州,多云,0.3685,0.5882,23.73,0.0606,70.223,47516.65
26,2026-04-19,17,杭州,阴,0.855,0.7378,23.4,0.1794,24.21,11745.67
27,2026-04-17,13,杭州,多云,0.2979,0.762,28.66,0.0314,65.178,48328.53
28,2026-06-26,12,杭州,多云,0.5146,0.5039,26.87,0.0535,71.968,41083.65
29,2026-04-19,18,杭州,晴,0.1908,0.5207,26.07,0.0166,8.519,30745.83
30,2026-04-11,7,杭州,晴,0.0963,0.6015,17.39,0.0076,22.208,52792.65
31,2026-05-28,16,杭州,多云,0.5304,0.6017,22.51,0.0172,44.531,36518.45
32,2026-06-19,10,杭州,晴,0.1679,0.5962,23.21,0.01,65.061,75072.33
33,2026-04-28,14,杭州,阴,0.7088,0.6629,28.41,0.1736,61.065,21681.45
34,2026-05-26,9,杭州,晴,0.0297,0.6009,29.36,0.008,55.617,78655.06
35,2026-04-15,18,杭州,晴,0.1404,0.4411,22.26,0.0197,7.447,29667.87
36,2026-04-02,17,杭州,阴,0.7374,0.7536,23.13,0.0254,19.789,11969.47
37,2026-04-15,14,杭州,晴,0.1526,0.5094,25.36,0.0137,59.108,77744.58
38,2026-06-26,12,杭州,阴,0.8624,0.8796,27.61,0.0403,71.968,17670.75
39,2026-06-14,6,杭州,阴,0.6888,0.762,13.29,0.08,17.251,12406.67
40,2026-05-18,18,杭州,晴,0.1679,0.6099,22.05,0.0181,14.692,41662.74
41,2026-06-07,12,杭州,阴,0.7616,0.8659,25.46,0.1171,71.75,20226.66
42,2026-05-20,7,杭州,晴,0.2173,0.2855,20.9,0.0091,30.114,61551.01
43,2026-05-21,7,杭州,晴,0.1644,0.3245,16.7,0.0161,30.246,56897.92
44,2026-05-11,16,杭州,晴,0.1444,0.2916,25.65,0.0154,42.494,78800.46
45,2026-05-17,12,杭州,晴,0.1458,0.3204,27.49,0.0187,70.479,90991.92
46,2026-05-01,11,杭州,晴,0.1175,0.5424,27.17,0.0076,67.002,90664.37
47,2026-05-27,6,杭州,晴,0.1605,0.6026,17.69,0.0151,15.92,38197.84
48,2026-07-01,17,杭州,阴,0.6722,0.5871,23.43,0.0101,32.015,14673.94
49,2026-04-19,18,杭州,晴,0.0417,0.3221,25.63,0.0111,8.519,35244.57
50,2026-05-02,12,杭州,多云,0.2967,0.5834,28.4,0.0466,68.992,50807.55
51,2026-05-30,8,杭州,阴,0.7747,0.5902,21.92,0.1229,44.703,18081.4
52,2026-05-27,10,杭州,晴,0.1195,0.4498,18.52,0.0129,64.171,84255.61
53,2026-05-11,11,杭州,多云,0.4353,0.6986,24.88,0.0025,68.103,49619.3
54,2026-04-16,17,杭州,雨,0.8724,0.9153,23.6,0.684,23.478,6756.47
55,2026-06-18,14,杭州,多云,0.4119,0.7181,31.62,0.0568,65.054,45354.77
56,2026-06-27,8,杭州,阴,0.8593,0.6042,19.09,0.1588,45.519,16760.8
57,2026-06-09,16,杭州,雨,0.8883,0.7347,24.85,0.5873,45.34,8136.58
58,2026-06-06,10,杭州,晴,0.0949,0.5571,23.73,0.0064,64.744,83670.2
59,2026-04-12,10,杭州,雨,0.8128,0.9593,23.58,0.4464,58.62,10963.27
60,2026-05-30,17,杭州,晴,0.1709,0.3303,24.83,0.0183,31.253,60322.06
61,2026-05-27,16,杭州,多云,0.3633,0.6961,25.93,0.0068,44.44,39959.42
62,2026-06-15,14,杭州,阴,0.8037,0.7287,28.53,0.1111,65.016,20331.33
63,2026-04-27,14,杭州,多云,0.3927,0.6633,29.22,0.0149,60.925,46120.56
64,2026-06-14,7,杭州,晴,0.073,0.3039,16.75,0.0011,32.169,70343.91
65,2026-06-14,17,杭州,多云,0.5956,0.5875,24.1,0.0003,32.169,28711.77
66,2026-05-09,9,杭州,多云,0.2927,0.7153,20.29,0.0081,53.751,48291.09
67,2026-05-14,10,杭州,晴,0.2199,0.5244,20.37,0.0009,63.026,77715.43
68,2026-06-21,6,杭州,晴,0.0085,0.3918,14.08,0.0099,17.348,50034.05
69,2026-05-14,14,杭州,晴,0.1836,0.458,28.16,0.0181,63.026,79647.4
70,2026-06-26,16,杭州,多云,0.4701,0.4503,28.49,0.0028,45.542,39066.82
71,2026-05-06,6,杭州,多云,0.5242,0.6371,16.94,0.0397,12.518,19391.53
72,2026-05-30,13,杭州,晴,0.1142,0.3794,24.45,0.016,69.612,91968.85
73,2026-04-01,12,杭州,晴,0.2058,0.2814,22.96,0.0029,64.877,80095.23
74,2026-06-26,8,杭州,晴,0.0447,0.388,20.91,0.0017,45.542,80268.23
75,2026-06-30,14,杭州,晴,0.0337,0.3926,26.43,0.0134,64.943,88724.43
76,2026-06-09,11,杭州,阴,0.7662,0.6831,26.88,0.0471,70.056,20873.55
77,2026-04-26,8,杭州,晴,0.0392,0.2868,20.7,0.0031,39.92,77435.07
78,2026-06-26,10,杭州,晴,0.1329,0.3548,26.32,0.0161,65.027,90018.01
79,2026-06-09,15,杭州,多云,0.4073,0.6706,27.57,0.065,56.485,44444.79
80,2026-05-01,18,杭州,雨,0.9373,0.7365,21.27,0.5857,11.445,4161.79
81,2026-04-25,10,杭州,阴,0.7102,0.7415,18.41,0.0331,60.639,20450.05
82,2026-04-17,13,杭州,多云,0.5616,0.7304,26.59,0.0234,65.178,39503.58
83,2026-05-25,14,杭州,多云,0.384,0.7494,29.72,0.0076,64.023,49898.06
84,2026-06-30,9,杭州,多云,0.4289,0.6064,21.82,0.0465,56.569,44190.64
85,2026-06-22,7,杭州,晴,0.1774,0.316,21.6,0.0123,32.255,63528.72
86,2026-05-26,16,杭州,晴,0.033,0.3435,30.27,0.0106,44.344,84514.16
87,2026-06-15,12,杭州,多云,0.6191,0.5656,26.95,0.001,71.954,41227.89
88,2026-06-03,14,杭州,晴,0.1963,0.5151,30.45,0.019,64.601,75002.52
89,2026-05-17,6,杭州,晴,0.103,0.4825,16.03,0.0184,14.534,43069.62
