sample_id,date,hour,city,weather,cloud_cover,humidity,temperature,precipitation,solar_altitude,outdoor_lux,wavelength_380,wavelength_390,wavelength_400,wavelength_410,wavelength_420,wavelength_430,wavelength_440,wavelength_450,wavelength_460,wavelength_470,wavelength_480,wavelength_490,wavelength_500,wavelength_510,wavelength_520,wavelength_530,wavelength_540,wavelength_550,wavelength_560,wavelength_570,wavelength_580,wavelength_590,wavelength_600,wavelength_610,wavelength_620,wavelength_630,wavelength_640,wavelength_650,wavelength_660,wavelength_670,wavelength_680,wavelength_690,wavelength_700,wavelength_710,wavelength_720,wavelength_730,wavelength_740,wavelength_750,wavelength_760,wavelength_770,wavelength_780,scene,target_lux,recommended_channel_1,recommended_channel_2,recommended_channel_3,recommended_channel_4,recommended_channel_5,recommended_channel_6,recommended_channel_7
1,2026-04-09,16,杭州,多云,0.5719,0.6801,23.67,0.0075,36.288,31661.65,0.631701,0.700749,0.752174,0.832871,0.847181,0.855425,0.896173,0.917242,0.923761,0.957214,0.952034,0.985051,0.97866,0.980463,0.975426,1.0,0.978789,0.96912,0.96026,0.958357,0.941382,0.93047,0.924599,0.943901,0.905019,0.893645,0.874122,0.871748,0.851678,0.804631,0.76516,0.741784,0.746624,0.739963,0.731804,0.709617,0.713816,0.703534,0.662394,0.628162,0.57633,学习,500,0.7221,0.5563,0.4428,0.0382,0.5113,0.2878,0.004
2,2026-06-14,6,杭州,阴,0.8162,0.7915,14.82,0.1405,17.251,9726.53,0.57768,0.693888,0.749391,0.864391,0.847258,0.888133,0.920684,0.952361,0.974429,0.989563,0.981038,0.982176,1.0,0.980244,0.957411,0.950012,0.941169,0.947218,0.925021,0.914227,0.879457,0.872384,0.867709,0.845136,0.846801,0.818251,0.806298,0.785329,0.748954,0.74694,0.707898,0.694719,0.68808,0.679856,0.678471,0.663737,0.655155,0.655611,0.575084,0.520398,0.463026,休息,180,0.5646,0.4597,0.4408,0.004,0.7028,0.3633,0.004
3,2026-05-04,17,杭州,多云,0.3704,0.7698,27.5,0.0623,27.478,30988.21,0.635938,0.684294,0.746314,0.810203,0.791798,0.834115,0.857762,0.877648,0.892136,0.929457,0.936793,0.958136,0.965502,0.993165,0.977308,0.972665,0.990184,0.990419,1.0,0.984883,0.968624,0.974899,0.940657,0.948302,0.943095,0.942183,0.915997,0.919801,0.881731,0.834088,0.807636,0.798556,0.789347,0.79528,0.800719,0.763398,0.737918,0.714544,0.703783,0.649919,0.613645,阅读,400,0.6167,0.4862,0.3998,0.004,0.5257,0.3239,0.004
4,2026-04-27,6,杭州,阴,0.874,0.6221,11.81,0.0997,10.522,7128.75,0.576375,0.695266,0.762455,0.865225,0.865129,0.876523,0.905025,0.933821,0.996045,0.966031,0.998319,0.974825,1.0,0.986723,0.970903,0.962379,0.940553,0.941547,0.910499,0.87979,0.860069,0.865544,0.874475,0.844141,0.830427,0.824338,0.823692,0.787797,0.755152,0.752606,0.718985,0.716567,0.684128,0.656179,0.649677,0.690519,0.687104,0.653436,0.59109,0.558218,0.45929,学习,500,0.8997,0.6948,0.5463,0.0337,0.6433,0.3945,0.004
5,2026-07-01,16,杭州,雨,0.8902,0.7545,30.45,0.2091,45.388,8836.0,0.54568,0.617986,0.758438,0.860482,0.881937,0.911381,0.943344,0.982824,0.967316,0.99662,0.992251,0.990499,1.0,0.980091,0.97516,0.935106,0.906201,0.889683,0.871845,0.846425,0.805533,0.802239,0.787717,0.806376,0.784206,0.731314,0.72283,0.68665,0.67738,0.668145,0.660535,0.616744,0.606565,0.578758,0.603649,0.589191,0.595395,0.58851,0.535041,0.445258,0.381835,学习,500,0.8824,0.6835,0.5381,0.0279,0.6373,0.3968,0.004
6,2026-04-25,9,杭州,阴,0.8541,0.6116,21.15,0.012,51.627,16960.98,0.608468,0.662494,0.765996,0.87219,0.889876,0.900277,0.929434,0.936892,0.972945,0.985401,0.999098,0.988458,0.999444,1.0,0.977595,0.967874,0.948496,0.930135,0.899817,0.89344,0.866623,0.880518,0.859572,0.831732,0.804381,0.786332,0.803195,0.769662,0.749445,0.692497,0.707778,0.682479,0.64779,0.650177,0.656663,0.65001,0.64083,0.638399,0.579002,0.526738,0.486947,阅读,400,0.7242,0.5755,0.4823,0.004,0.6473,0.4028,0.004
7,2026-06-12,11,杭州,多云,0.3706,0.4961,26.48,0.0382,70.139,53607.57,0.637237,0.727823,0.775048,0.833143,0.838418,0.864698,0.91076,0.933139,0.969556,0.978662,0.97997,1.0,0.987262,0.990815,0.974901,0.973406,0.956744,0.964671,0.925483,0.929174,0.898973,0.8988,0.8846,0.890522,0.870804,0.833371,0.834157,0.800826,0.782562,0.776582,0.738962,0.702498,0.686328,0.691887,0.673406,0.673821,0.67724,0.67776,0.634879,0.565263,0.557291,办公,450,0.4829,0.3768,0.3172,0.004,0.3915,0.2379,0.004
8,2026-06-24,16,杭州,多云,0.4839,0.7573,22.97,0.0096,45.576,39931.11,0.647477,0.717286,0.760694,0.834038,0.852882,0.860131,0.887161,0.917705,0.92758,0.953318,0.965012,0.979697,0.992438,0.969429,0.981593,1.0,0.968198,0.960127,0.961979,0.9553,0.92907,0.933025,0.920262,0.916093,0.906633,0.918085,0.870295,0.825974,0.84352,0.786593,0.763232,0.754234,0.703055,0.699533,0.689829,0.694047,0.702334,0.695389,0.653191,0.592602,0.54136,办公,450,0.6061,0.4732,0.3755,0.004,0.4534,0.2922,0.004
9,2026-06-02,9,杭州,阴,0.6766,0.8797,22.42,0.1198,56.13,21168.33,0.595285,0.688026,0.759661,0.852539,0.879217,0.908916,0.918671,0.956647,0.966145,0.980957,1.0,0.963634,0.96936,0.960093,0.939316,0.9492,0.953615,0.922962,0.909918,0.900583,0.88298,0.846964,0.852666,0.825613,0.802551,0.79229,0.763304,0.749711,0.731638,0.720057,0.706698,0.645343,0.655416,0.628994,0.644831,0.633725,0.608136,0.641027,0.569691,0.518483,0.45811,阅读,400,0.6826,0.5504,0.4619,0.004,0.6274,0.3812,0.004
10,2026-05-20,16,杭州,多云,0.4746,0.4979,26.07,0.0757,43.698,35898.35,0.664582,0.711121,0.790747,0.837809,0.846994,0.870816,0.918339,0.950433,0.949512,0.967845,0.991551,0.97572,0.996098,0.994704,1.0,0.984384,0.971264,0.958511,0.960014,0.953933,0.940448,0.956467,0.939623,0.910239,0.921737,0.902538,0.889069,0.874482,0.854016,0.812246,0.801045,0.750695,0.751663,0.777414,0.742315,0.751031,0.725449,0.721472,0.671052,0.626997,0.576526,学习,500,0.6874,0.527,0.434,0.0468,0.4934,0.2571,0.004
11,2026-05-18,16,杭州,多云,0.3194,0.4738,27.84,0.0674,43.454,43173.37,0.650585,0.700703,0.770675,0.789508,0.820883,0.818716,0.851135,0.914046,0.933026,0.931827,0.935357,0.927792,0.961871,1.0,0.979779,0.96886,0.978641,0.950638,0.956153,0.947755,0.931368,0.930547,0.920551,0.922422,0.903235,0.912727,0.906988,0.857679,0.833294,0.8293,0.783172,0.779099,0.744985,0.76014,0.740179,0.734999,0.740922,0.708397,0.662562,0.628713,0.599374,学习,500,0.6538,0.4957,0.4079,0.0623,0.4613,0.212,0.004
12,2026-04-18,9,杭州,多云,0.4794,0.6128,17.85,0.0067,50.398,38524.04,0.646248,0.705165,0.765669,0.823189,0.843576,0.84649,0.894707,0.92423,0.944633,0.963194,0.971237,1.0,0.978164,0.977261,0.971357,0.965323,0.957667,0.95398,0.952198,0.941647,0.921561,0.898354,0.911397,0.90498,0.887803,0.871125,0.870121,0.844555,0.798044,0.785125,0.760136,0.723112,0.722698,0.695257,0.724571,0.717491,0.691381,0.690155,0.616242,0.591591,0.561794,办公,450,0.6159,0.4792,0.3866,0.004,0.4652,0.3014,0.004
13,2026-04-07,7,杭州,阴,0.76,0.7459,21.96,0.1177,21.152,11359.92,0.58509,0.695739,0.734154,0.825313,0.858307,0.877783,0.92185,0.939346,0.931136,0.97766,0.97054,1.0,0.972257,0.968298,0.97865,0.973108,0.957515,0.913559,0.928776,0.888403,0.888451,0.849949,0.865612,0.839552,0.823944,0.840474,0.81798,0.785622,0.790723,0.737737,0.719536,0.702963,0.677233,0.685218,0.666519,0.664492,0.685443,0.646422,0.570206,0.569454,0.524096,学习,500,0.8678,0.6709,0.5279,0.0343,0.6219,0.3789,0.004
14,2026-06-05,13,杭州,晴,0.0605,0.5814,29.18,0.0038,69.909,92384.22,0.677637,0.732428,0.775027,0.779703,0.78491,0.800889,0.836741,0.850141,0.896083,0.911606,0.948856,0.944768,0.974691,0.960401,0.985472,0.990432,0.984325,0.995049,1.0,0.97478,0.947988,0.952871,0.94131,0.946327,0.945012,0.919279,0.902334,0.897136,0.856222,0.800262,0.794451,0.761252,0.735424,0.721239,0.73397,0.719921,0.726572,0.69525,0.677574,0.655251,0.647134,阅读,400,0.1594,0.1111,0.1025,0.004,0.1598,0.0497,0.004
15,2026-06-27,18,杭州,多云,0.557,0.7478,22.8,0.063,17.242,22388.57,0.647725,0.68294,0.742504,0.807077,0.813471,0.846153,0.828576,0.877427,0.902614,0.900341,0.933278,0.945552,0.964636,0.990083,0.977621,0.971095,0.986169,1.0,0.967382,0.959089,0.968305,0.949969,0.959233,0.950244,0.957516,0.926038,0.925637,0.902098,0.861227,0.824836,0.824078,0.785117,0.760373,0.764386,0.774959,0.722018,0.724494,0.723026,0.711125,0.650474,0.611901,学习,500,0.8018,0.6132,0.4857,0.0451,0.5604,0.3136,0.004
16,2026-05-16,11,杭州,多云,0.3312,0.4656,26.35,0.0111,68.579,51612.66,0.669322,0.732694,0.765836,0.813175,0.865465,0.885691,0.889125,0.910603,0.955988,0.980677,1.0,0.991298,0.983572,0.977138,0.984059,0.975208,0.959391,0.982388,0.964777,0.939234,0.897198,0.901389,0.889687,0.881601,0.883275,0.865101,0.850213,0.828256,0.799382,0.747006,0.739824,0.711336,0.690824,0.717534,0.71369,0.703766,0.683653,0.686471,0.635131,0.600486,0.54921,学习,500,0.5521,0.4357,0.3305,0.004,0.3839,0.2714,0.004
17,2026-06-13,12,杭州,雨,0.7809,0.724,29.16,0.8455,71.918,11935.86,0.543162,0.648214,0.753904,0.852116,0.890886,0.907282,0.924886,0.970115,0.984713,0.965344,0.989753,1.0,0.990822,0.976449,0.94644,0.915265,0.890344,0.885563,0.861057,0.84807,0.822066,0.785316,0.753875,0.752186,0.746183,0.726515,0.705102,0.696898,0.665504,0.642054,0.634568,0.609201,0.606997,0.601245,0.579479,0.586627,0.610657,0.57413,0.500031,0.440513,0.401366,阅读,400,0.7712,0.6129,0.5112,0.004,0.6845,0.4304,0.004
18,2026-05-08,12,杭州,阴,0.8328,0.8149,24.11,0.1026,69.638,18090.92,0.553872,0.641695,0.738793,0.850708,0.878261,0.869944,0.925406,0.924336,0.96663,0.953487,0.962407,0.965811,1.0,0.960554,0.928907,0.93903,0.905625,0.886246,0.885529,0.852312,0.834993,0.813706,0.804575,0.794843,0.751456,0.773666,0.734352,0.707542,0.702723,0.679441,0.64509,0.646961,0.604641,0.610241,0.603716,0.608041,0.609409,0.588235,0.559815,0.497655,0.416776,学习,500,0.81,0.631,0.4952,0.0191,0.5886,0.3771,0.004
