sample_id,date,hour,city,location_code,weather,cloud_cover,humidity,temperature,precipitation,solar_altitude,outdoor_lux,wavelength_380,wavelength_390,wavelength_400,wavelength_410,wavelength_420,wavelength_430,wavelength_440,wavelength_450,wavelength_460,wavelength_470,wavelength_480,wavelength_490,wavelength_500,wavelength_510,wavelength_520,wavelength_530,wavelength_540,wavelength_550,wavelength_560,wavelength_570,wavelength_580,wavelength_590,wavelength_600,wavelength_610,wavelength_620,wavelength_630,wavelength_640,wavelength_650,wavelength_660,wavelength_670,wavelength_680,wavelength_690,wavelength_700,wavelength_710,wavelength_720,wavelength_730,wavelength_740,wavelength_750,wavelength_760,wavelength_770,wavelength_780
1,2016-03-16,8,巴黎,FR-VLX,阴,0.81,0.84,2.1,0.0,15.1,5035.0,0.0636,0.0636,0.0636,0.0636,0.0636,0.0506,0.06628,0.08167,0.07786,0.07589,0.07948,0.07875,0.07303,0.07138,0.07037,0.07071,0.066,0.06829,0.06402,0.06107,0.06215,0.0575,0.05878,0.05896,0.06096,0.05678,0.06051,0.05702,0.05978,0.05353,0.05775,0.04569,0.05133,0.05133,0.05133,0.05133,0.05133,0.05133,0.05133,0.05133,0.05133
2,2016-03-16,8,巴黎,FR-VLX,阴,0.81,0.84,2.1,0.0,15.2,5324.0,0.064,0.064,0.064,0.064,0.064,0.0526,0.06968,0.08618,0.08144,0.08007,0.08446,0.08319,0.0772,0.07588,0.0747,0.07512,0.07035,0.07269,0.06837,0.06488,0.06589,0.06157,0.06255,0.06348,0.06488,0.06103,0.06421,0.06098,0.06336,0.05777,0.0613,0.04899,0.0553,0.0553,0.0553,0.0553,0.0553,0.0553,0.0553,0.0553,0.0553
3,2016-03-16,8,巴黎,FR-VLX,阴,0.81,0.84,2.1,0.0,15.4,5658.0,0.0671,0.0671,0.0671,0.0671,0.0671,0.0545,0.07327,0.09006,0.08638,0.08451,0.08843,0.08779,0.0815,0.08026,0.07879,0.07958,0.07398,0.07729,0.07236,0.06899,0.07008,0.06535,0.06639,0.0673,0.06931,0.06476,0.06875,0.06544,0.06757,0.06176,0.06604,0.05205,0.05873,0.05873,0.05873,0.05873,0.05873,0.05873,0.05873,0.05873,0.05873
4,2016-03-16,8,巴黎,FR-VLX,阴,0.81,0.84,2.1,0.0,15.6,5963.0,0.0698,0.0698,0.0698,0.0698,0.0698,0.0587,0.07657,0.0946,0.08939,0.08855,0.09294,0.09135,0.08563,0.08406,0.08274,0.08384,0.07854,0.08114,0.07601,0.07267,0.07411,0.06901,0.07037,0.07108,0.07293,0.06836,0.07228,0.06855,0.07138,0.06567,0.0699,0.05506,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235
5,2016-03-16,8,巴黎,FR-VLX,阴,0.81,0.84,2.1,0.0,15.7,6252.0,0.0734,0.0734,0.0734,0.0734,0.0734,0.0606,0.07961,0.0981,0.09275,0.09214,0.09666,0.09583,0.08943,0.08819,0.08639,0.08737,0.08235,0.08524,0.08015,0.0766,0.07777,0.07286,0.07385,0.07444,0.07657,0.07154,0.07575,0.07254,0.0748,0.06898,0.07359,0.05803,0.06566,0.06566,0.06566,0.06566,0.06566,0.06566,0.06566,0.06566,0.06566
6,2016-03-16,8,巴黎,FR-VLX,阴,0.81,0.84,2.1,0.0,15.9,6556.0,0.0741,0.0741,0.0741,0.0741,0.0741,0.0635,0.08314,0.1023,0.09734,0.0961,0.1004,0.09981,0.09325,0.09208,0.09055,0.0915,0.08588,0.08906,0.08366,0.08007,0.08113,0.0759,0.07757,0.07824,0.0803,0.07547,0.07965,0.07623,0.07839,0.07245,0.07719,0.06085,0.06874,0.06874,0.06874,0.06874,0.06874,0.06874,0.06874,0.06874,0.06874
7,2016-03-16,8,巴黎,FR-VLX,阴,0.81,0.84,2.1,0.0,16.1,6875.0,0.0784,0.0784,0.0784,0.0784,0.0784,0.0646,0.08623,0.1053,0.1009,0.09951,0.1051,0.1034,0.09688,0.09528,0.09372,0.09514,0.08951,0.09256,0.08745,0.08323,0.08443,0.07909,0.08085,0.08118,0.08328,0.07848,0.08241,0.07884,0.08123,0.07548,0.08007,0.06337,0.07142,0.07142,0.07142,0.07142,0.07142,0.07142,0.07142,0.07142,0.07142
8,2016-03-16,8,巴黎,FR-VLX,阴,0.81,0.84,2.1,0.0,16.2,7100.0,0.0798,0.0798,0.0798,0.0798,0.0798,0.0666,0.088,0.1078,0.1038,0.1014,0.1073,0.1064,0.0994,0.09815,0.09638,0.09761,0.09128,0.09505,0.08971,0.08541,0.08697,0.08115,0.08319,0.08399,0.08603,0.08052,0.08513,0.08125,0.08341,0.07763,0.082,0.06515,0.07302,0.07302,0.07302,0.07302,0.07302,0.07302,0.07302,0.07302,0.07302
9,2016-03-16,8,巴黎,FR-VLX,阴,0.94,0.8,2.7,0.0,16.4,7290.0,0.0819,0.0819,0.0819,0.0819,0.0819,0.0673,0.08884,0.1094,0.1052,0.1031,0.109,0.1084,0.1011,0.09979,0.09767,0.09944,0.09322,0.09635,0.09077,0.08666,0.08833,0.08233,0.0843,0.08537,0.08734,0.08173,0.08544,0.08202,0.08475,0.07914,0.08265,0.06595,0.07437,0.07437,0.07437,0.07437,0.07437,0.07437,0.07437,0.07437,0.07437
10,2016-03-16,8,巴黎,FR-VLX,阴,0.94,0.8,2.7,0.0,16.6,7380.0,0.0818,0.0818,0.0818,0.0818,0.0818,0.0681,0.09062,0.112,0.1075,0.1053,0.1106,0.1092,0.1021,0.1012,0.09885,0.1002,0.09418,0.09736,0.09143,0.08771,0.08918,0.08342,0.08543,0.08615,0.08816,0.08257,0.08685,0.08289,0.08549,0.07974,0.08365,0.06648,0.07485,0.07485,0.07485,0.07485,0.07485,0.07485,0.07485,0.07485,0.07485
