sample_id,date,hour,city,weather,cloud_cover,humidity,temperature,precipitation,solar_altitude,outdoor_lux
1,2016-03-16,8,巴黎,阴,0.81,0.84,2.1,0.0,15.1,5035.0
2,2016-03-16,8,巴黎,阴,0.81,0.84,2.1,0.0,15.2,5324.0
3,2016-03-16,8,巴黎,阴,0.81,0.84,2.1,0.0,15.4,5658.0
4,2016-03-16,8,巴黎,阴,0.81,0.84,2.1,0.0,15.6,5963.0
5,2016-03-16,8,巴黎,阴,0.81,0.84,2.1,0.0,15.7,6252.0
6,2016-03-16,8,巴黎,阴,0.81,0.84,2.1,0.0,15.9,6556.0
7,2016-03-16,8,巴黎,阴,0.81,0.84,2.1,0.0,16.1,6875.0
8,2016-03-16,8,巴黎,阴,0.81,0.84,2.1,0.0,16.2,7100.0
9,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,16.4,7290.0
10,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,16.6,7380.0
11,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,16.7,7470.0
12,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,16.9,7560.0
13,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,17.0,7710.0
14,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,17.2,7820.0
15,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,17.4,7940.0
16,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,17.5,8020.0
17,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,17.7,8110.0
18,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,17.9,8210.0
19,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,18.0,8380.0
20,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,18.2,8440.0
21,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,18.3,8470.0
22,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,18.5,8550.0
23,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,18.7,8590.0
24,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,18.8,8550.0
25,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,19.0,8410.0
26,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,19.1,8210.0
27,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,19.3,8030.0
28,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,19.5,7940.0
29,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,19.6,7990.0
30,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,19.8,8080.0
31,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,19.9,8140.0
32,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,20.1,8110.0
33,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,20.3,8030.0
34,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,20.4,7960.0
35,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,20.6,7800.0
36,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,20.7,7610.0
37,2016-03-16,8,巴黎,阴,0.94,0.8,2.7,0.0,20.9,7350.0
38,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,21.0,7090.0
39,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,21.2,6830.0
40,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,21.4,6632.0
41,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,21.5,6389.0
42,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,21.7,6206.0
43,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,21.8,5932.0
44,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,22.0,5765.0
45,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,22.1,5643.0
46,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,22.3,5613.0
47,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,22.4,5734.0
48,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,22.6,5947.0
49,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,22.8,6191.0
50,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,22.9,6389.0
51,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,23.1,6495.0
52,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,23.2,6586.0
53,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,23.4,6754.0
54,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,23.5,7010.0
55,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,23.7,7350.0
56,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,23.8,7680.0
57,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,24.0,8020.0
58,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,24.1,8340.0
59,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,24.3,8720.0
60,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,24.4,9050.0
61,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,24.6,9310.0
62,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,24.7,9350.0
63,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,24.9,9310.0
64,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,25.0,9170.0
65,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,25.2,9070.0
66,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,25.3,9070.0
67,2016-03-16,9,巴黎,阴,0.94,0.8,2.7,0.0,25.5,9220.0
68,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,25.6,9550.0
69,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,25.8,10010.0
70,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,25.9,10470.0
71,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.1,10810.0
72,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.2,11070.0
73,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.4,11260.0
74,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.5,11530.0
75,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.6,11880.0
76,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.8,12400.0
77,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.9,12940.0
